,pclass,survived,sex,age,fare,family_size,has_cabin
0,1.0,1.0,1.0,29.0,211.3375,0.0,1
1,1.0,1.0,0.0,0.9167,151.55,3.0,1
2,1.0,0.0,1.0,2.0,151.55,3.0,1
3,1.0,0.0,0.0,30.0,151.55,3.0,1
4,1.0,0.0,1.0,25.0,151.55,3.0,1
5,1.0,1.0,0.0,48.0,26.55,0.0,1
6,1.0,1.0,1.0,63.0,77.9583,1.0,1
7,1.0,0.0,0.0,39.0,0.0,0.0,1
8,1.0,1.0,1.0,53.0,51.4792,2.0,1
9,1.0,0.0,0.0,71.0,49.5042,0.0,0
10,1.0,0.0,0.0,47.0,227.525,1.0,1
11,1.0,1.0,1.0,18.0,227.525,1.0,1
12,1.0,1.0,1.0,24.0,69.3,0.0,1
13,1.0,1.0,1.0,26.0,78.85,0.0,0
14,1.0,1.0,0.0,80.0,30.0,0.0,1
15,1.0,0.0,0.0,29.8811345124283,25.925,0.0,0
16,1.0,0.0,0.0,24.0,247.5208,1.0,1
17,1.0,1.0,1.0,50.0,247.5208,1.0,1
18,1.0,1.0,1.0,32.0,76.2917,0.0,1
19,1.0,0.0,0.0,36.0,75.2417,0.0,1
20,1.0,1.0,0.0,37.0,52.5542,2.0,1
21,1.0,1.0,1.0,47.0,52.5542,2.0,1
22,1.0,1.0,0.0,26.0,30.0,0.0,1
23,1.0,1.0,1.0,42.0,227.525,0.0,0
24,1.0,1.0,1.0,29.0,221.7792,0.0,1
25,1.0,0.0,0.0,25.0,26.0,0.0,0
26,1.0,1.0,0.0,25.0,91.0792,1.0,1
27,1.0,1.0,1.0,19.0,91.0792,1.0,1
28,1.0,1.0,1.0,35.0,135.6333,0.0,1
29,1.0,1.0,0.0,28.0,26.55,0.0,1
30,1.0,0.0,0.0,45.0,35.5,0.0,1
31,1.0,1.0,0.0,40.0,31.0,0.0,1
32,1.0,1.0,1.0,30.0,164.8667,0.0,1
33,1.0,1.0,1.0,58.0,26.55,0.0,1
34,1.0,0.0,0.0,42.0,26.55,0.0,1
35,1.0,1.0,1.0,45.0,262.375,0.0,0
36,1.0,1.0,1.0,22.0,55.0,1.0,1
37,1.0,1.0,0.0,29.8811345124283,26.55,0.0,0
38,1.0,0.0,0.0,41.0,30.5,0.0,1
39,1.0,0.0,0.0,48.0,50.4958,0.0,1
40,1.0,0.0,0.0,29.8811345124283,39.6,0.0,0
41,1.0,1.0,1.0,44.0,27.7208,0.0,1
42,1.0,1.0,1.0,59.0,51.4792,2.0,1
43,1.0,1.0,1.0,60.0,76.2917,0.0,1
44,1.0,1.0,1.0,41.0,134.5,0.0,1
45,1.0,0.0,0.0,45.0,26.55,0.0,1
46,1.0,0.0,0.0,29.8811345124283,31.0,0.0,0
47,1.0,1.0,0.0,42.0,26.2875,0.0,1
48,1.0,1.0,1.0,53.0,27.4458,0.0,0
49,1.0,1.0,0.0,36.0,512.3292,1.0,1
50,1.0,1.0,1.0,58.0,512.3292,1.0,1
51,1.0,0.0,0.0,33.0,5.0,0.0,1
52,1.0,0.0,0.0,28.0,47.1,0.0,0
53,1.0,0.0,0.0,17.0,47.1,0.0,0
54,1.0,1.0,0.0,11.0,120.0,3.0,1
